########################Synthesis Result############################
--------------------------------------------------------------------------------   
Gates                                     9023.385443
FFs                                          121
Arrival time                                  -1.69

##########################ATPG Result##############################
--------------------------------------------------------------------------------   
Faults                                  4648
Patterns                                303
Fault_Coverage                           84.96%
CPU_Runtime                             0.47

#########################X-Fill Result##############################
--------------------------------------------------------------------------------   
PID      X-ratio      0-fill      1-fill      r-fill      my-fill   
 176        83.47           539           468          1781            393   
 177        80.99           387           641          1692            366   
 178        83.47           338           455          1700            331   
 179        81.81           479           524          1761            440   
 180        80.16           674           673          2118            621   
 181        78.51           433           492          1775            379   
 182        81.81           481           466          1732            454   
 183        78.51           756           689          1618            671   
 184        87.60           420           350          1728            328   
 185        79.33           359           476          1831            354   
 186        85.95           269           373          1621            253   
 187        78.51           549           687          1803            514   
 188        79.33           435           377          1592            331   
 189        78.51           300           359          1520            278   
 190        72.72           492           667          1781            440   
 191        71.90           483           568          1957            443   
 192        81.81           693           582          1747            563   
 193        80.16           657           650          2134            529   
 194        81.81           333           490          1974            305   
 195        81.81           521           606          1888            382   
 196        80.99           754           626          2195            532   
 197        82.64           470           608          2088            443   
 198        85.12           418           425          2135            339   
 199        82.64           578           442          1954            371   
 200        80.99           658           786          1720            596   
 201        81.81           613           578          1897            481   
 202        80.99           381           507          1625            362   
 203        80.99           416           397          1554            214   
 204        87.60           515           395          1806            377   
 205        85.95           234           397          1554            233   
 206        83.47           458           440          1839            456   
 207        80.99           517           591          1604            426   
 208        75.20           635           636          2149            521   
 209        82.64           231           345          1481            173   
 210        80.99           647           603          2011            442   
 211        89.25           316           286          1773            276   
 212        83.47           295           428          1500            265   
 213        90.90           324           344          2043            309   
 214        82.64           584           464          1858            378   
 215        83.47           381           424          2057            285   
 216        80.99           452           524          1734            324   
 217        83.47           625           650          2291            563   
 218        88.42           375           324          2005            235   
 219        82.64           446           654          1862            434   
 220        84.29           464           384          1725            306   
 221        81.81           492           559          1979            436   
 222        82.64           415           385          1731            282   
 223        83.47           444           569          2021            411   
 224        81.81           596           655          2079            560   
 225        80.99           640           584          1837            399   
 226        86.77           273           382          1600            259   
 227        83.47           413           606          1834            411   
 228        83.47           519           534          1794            429   
 229        80.99           402           572          1434            413   
 230        84.29           321           529          2231            309   
 231        81.81           384           513          1616            360   
 232        79.33           648           636          1806            528   
 233        86.77           368           327          1505            252   
 234        81.81           249           345          1564            202   
 235        81.81           378           564          1725            315   
 236        90.90           134           184          1588             93   
 237        87.60           398           377          1784            300   
 238        82.64           385           555          1957            339   
 239        82.64           774           644          1944            558   
 240        89.25           355           281          1655            293   
 241        83.47           617           562          1932            407   
 242        88.42           449           401          1973            415   
 243        81.81           511           546          1744            477   
 244        83.47           471           546          2006            392   
 245        83.47           311           460          2003            186   
 246        83.47           443           458          1733            323   
 247        88.42           336           459          1742            328   
 248        82.64           508           712          2116            503   
 249        85.12           408           553          1894            405   
 250        82.64           299           523          1787            266   
 251        82.64           357           579          1701            338   
 252        82.64           474           584          2207            472   
 253        88.42           356           317          1735            248   
 254        87.60           259           538          1718            207   
 255        87.60           177           453          1778            173   
 256        84.29           293           399          1708            290   
 257        82.64           549           577          2081            457   
 258        83.47           444           639          2123            442   
 259        82.64           526           370          1828            326   
 260        94.21           327           151          1767            115   
 261        87.60           471           390          1783            438   
 262        83.47           276           292          1794            126   
 263        95.86           153           158          1872            117   
 264        88.42           275           283          1889            179   
 265        90.08           229           258          2241            120   
 266        90.08           228           260          1802            216   
 267        90.08           294           258          2061            282   
 268        88.42           597           465          1746            537   
 269        90.08           416           319          2384            299   
 270        88.42           557           281          1838            340   
 271        88.42           444           477          1683            291   
 272        90.08           290           319          1808            183   
 273        88.42           395           459          2133            389   
 274        85.12           420           597          2159            401   
 275        88.42           186           353          1852            147   
 276        89.25           243           347          1929            208   
 277        95.04           178           152          2138            116   
 278        90.08           261           267          1910            229   
 279        92.56           343           238          1838            248   
 280        94.21           341           154          1823            210   
 281        93.38           263           327          1755            197   
 282        86.77           407           347          1959            337   
 283        81.81           337           347          1411            237   
 284        82.64           247           438          1779            303   
 285        95.04           140            76          2238            111   
 286        89.25           366            85          1755             85   
 287        84.29           255           348          1657            304   
 288        77.68           166           267          1607            117   
 289        81.81           432           456          1893            430   
 290        89.25           216           429          1659            227   
 291        86.77           581           441          1566            376   
 292        81.81           403           671          1608            401   
 293        88.42           163           195          1991            130   
 294        77.68           334           451          2059            372   
 295        80.99           106           359          1912            162   
 296        80.99           128           351          2288            124   
 297        81.81           265           289          1569            222   
 298        82.64           196           355          1676            252   
 299        80.99           265           360          1663            211   
 300        90.90           155           184          1876            175   
 301        90.08           309           183          1665            174   
 302        89.25           506           341          1871            315   
